Video_Time,Vehicle_Count,Cars,Motorcycles,Buses,Trucks,Bicycles,Congestion_Level
00:06.81,4,2,1,1,0,0,LOW
00:06.84,4,2,1,1,0,0,LOW
00:06.87,4,2,1,1,0,0,LOW
00:06.91,4,2,1,1,0,0,LOW
00:06.94,4,2,1,1,0,0,LOW
00:06.97,4,2,1,1,0,0,LOW
00:07.01,4,2,1,1,0,0,LOW
00:07.04,4,2,1,1,0,0,LOW
00:07.07,4,2,1,1,0,0,LOW
00:07.11,4,2,1,1,0,0,LOW
00:07.14,5,3,1,1,0,0,LOW
00:07.17,5,3,1,1,0,0,LOW
00:07.21,5,3,1,1,0,0,LOW
00:07.24,5,3,1,1,0,0,LOW
00:07.27,5,3,1,1,0,0,LOW
00:07.31,5,3,1,1,0,0,LOW
00:00.03,4,3,0,1,0,0,LOW
00:00.07,4,3,0,1,0,0,LOW
00:00.10,4,3,0,1,0,0,LOW
00:00.13,4,3,0,1,0,0,LOW
00:00.17,4,3,0,1,0,0,LOW
00:00.20,4,3,0,1,0,0,LOW
00:00.23,4,3,0,1,0,0,LOW
00:00.27,4,3,0,1,0,0,LOW
00:00.30,4,3,0,1,0,0,LOW
00:00.33,4,3,0,1,0,0,LOW
00:00.37,5,4,0,1,0,0,LOW
00:00.40,5,4,0,1,0,0,LOW
00:00.43,5,4,0,1,0,0,LOW
00:00.47,5,4,0,1,0,0,LOW
00:00.50,5,4,0,1,0,0,LOW
00:00.53,5,4,0,1,0,0,LOW
00:00.57,5,4,0,1,0,0,LOW
00:00.60,5,4,0,1,0,0,LOW
00:00.63,5,4,0,1,0,0,LOW
00:00.67,5,4,0,1,0,0,LOW
00:00.70,5,4,0,1,0,0,LOW
00:00.73,5,4,0,1,0,0,LOW
00:00.77,5,4,0,1,0,0,LOW
00:00.80,5,4,0,1,0,0,LOW
00:00.83,5,4,0,1,0,0,LOW
00:00.87,5,4,0,1,0,0,LOW
00:00.90,5,4,0,1,0,0,LOW
00:00.93,5,4,0,1,0,0,LOW
00:00.97,4,3,0,1,0,0,LOW
00:01.00,4,3,0,1,0,0,LOW
00:01.03,4,3,0,1,0,0,LOW
00:01.07,4,3,0,1,0,0,LOW
00:01.10,4,3,0,1,0,0,LOW
00:01.13,4,3,0,1,0,0,LOW
00:01.17,4,3,0,1,0,0,LOW
00:01.20,4,3,0,1,0,0,LOW
00:01.23,4,3,0,1,0,0,LOW
00:01.27,4,3,0,1,0,0,LOW
00:01.30,4,3,0,1,0,0,LOW
00:01.33,4,3,0,1,0,0,LOW
00:01.37,4,3,0,1,0,0,LOW
00:01.40,4,3,0,1,0,0,LOW
00:01.43,4,3,0,1,0,0,LOW
00:01.47,4,3,0,1,0,0,LOW
00:01.50,4,3,0,1,0,0,LOW
00:01.53,4,3,0,1,0,0,LOW
00:01.57,4,3,0,1,0,0,LOW
00:01.60,4,3,0,1,0,0,LOW
00:01.63,4,3,0,1,0,0,LOW
00:01.67,4,3,0,1,0,0,LOW
00:01.70,4,3,0,1,0,0,LOW
00:01.74,5,4,0,1,0,0,LOW
00:01.77,5,4,0,1,0,0,LOW
00:01.80,5,4,0,1,0,0,LOW
00:01.84,5,4,0,1,0,0,LOW
00:01.87,5,4,0,1,0,0,LOW
00:01.90,5,4,0,1,0,0,LOW
00:01.94,5,4,0,1,0,0,LOW
00:01.97,5,4,0,1,0,0,LOW
00:02.00,5,4,0,1,0,0,LOW
00:02.04,5,4,0,1,0,0,LOW
00:02.07,5,4,0,1,0,0,LOW
00:02.10,5,4,0,1,0,0,LOW
00:02.14,5,4,0,1,0,0,LOW
00:02.17,5,4,0,1,0,0,LOW
00:02.20,5,4,0,1,0,0,LOW
00:02.24,5,4,0,1,0,0,LOW
00:02.27,5,4,0,1,0,0,LOW
00:02.30,5,4,0,1,0,0,LOW
00:02.34,5,4,0,1,0,0,LOW
00:02.37,5,4,0,1,0,0,LOW
00:02.40,5,4,0,1,0,0,LOW
00:02.44,5,4,0,1,0,0,LOW
00:02.47,5,4,0,1,0,0,LOW
00:02.50,5,4,0,1,0,0,LOW
00:02.54,5,4,0,1,0,0,LOW
00:02.57,5,4,0,1,0,0,LOW
00:02.60,5,4,0,1,0,0,LOW
00:02.64,5,4,0,1,0,0,LOW
00:02.67,5,4,0,1,0,0,LOW
00:02.70,5,4,0,1,0,0,LOW
00:02.74,5,4,0,1,0,0,LOW
00:02.77,5,4,0,1,0,0,LOW
00:02.80,5,4,0,1,0,0,LOW
00:02.84,5,4,0,1,0,0,LOW
00:02.87,5,4,0,1,0,0,LOW
00:02.90,5,4,0,1,0,0,LOW
00:02.94,5,4,0,1,0,0,LOW
00:02.97,5,4,0,1,0,0,LOW
00:03.00,5,4,0,1,0,0,LOW
00:03.04,5,4,0,1,0,0,LOW
00:03.07,5,4,0,1,0,0,LOW
00:03.10,5,4,0,1,0,0,LOW
00:03.14,5,4,0,1,0,0,LOW
00:03.17,5,4,0,1,0,0,LOW
00:03.20,5,4,0,1,0,0,LOW
00:03.24,5,4,0,1,0,0,LOW
00:03.27,5,4,0,1,0,0,LOW
00:03.30,5,4,0,1,0,0,LOW
00:03.34,5,4,0,1,0,0,LOW
00:03.37,5,4,0,1,0,0,LOW
00:03.40,5,4,0,1,0,0,LOW
00:03.44,5,4,0,1,0,0,LOW
00:03.47,5,4,0,1,0,0,LOW
00:03.50,5,4,0,1,0,0,LOW
00:03.54,5,4,0,1,0,0,LOW
00:03.57,5,4,0,1,0,0,LOW
00:03.60,5,4,0,1,0,0,LOW
00:03.64,5,4,0,1,0,0,LOW
00:03.67,5,4,0,1,0,0,LOW
00:03.70,5,4,0,1,0,0,LOW
00:03.74,5,4,0,1,0,0,LOW
00:03.77,5,4,0,1,0,0,LOW
00:03.80,5,4,0,1,0,0,LOW
00:03.84,5,4,0,1,0,0,LOW
00:03.87,5,4,0,1,0,0,LOW
00:03.90,6,4,1,1,0,0,MEDIUM
00:03.94,6,4,1,1,0,0,MEDIUM
00:03.97,6,4,1,1,0,0,MEDIUM
00:04.00,6,4,1,1,0,0,MEDIUM
00:04.04,6,4,1,1,0,0,MEDIUM
00:04.07,6,4,1,1,0,0,MEDIUM
00:04.10,6,4,1,1,0,0,MEDIUM
00:04.14,6,4,1,1,0,0,MEDIUM
00:04.17,6,4,1,1,0,0,MEDIUM
00:04.20,6,4,1,1,0,0,MEDIUM
00:04.24,6,4,1,1,0,0,MEDIUM
00:04.27,6,4,1,1,0,0,MEDIUM
00:04.30,6,4,1,1,0,0,MEDIUM
00:04.34,6,4,1,1,0,0,MEDIUM
00:04.37,6,4,1,1,0,0,MEDIUM
00:04.40,6,4,1,1,0,0,MEDIUM
00:04.44,6,4,1,1,0,0,MEDIUM
00:04.47,6,4,1,1,0,0,MEDIUM
00:04.50,6,4,1,1,0,0,MEDIUM
00:04.54,6,4,1,1,0,0,MEDIUM
00:04.57,6,4,1,1,0,0,MEDIUM
00:04.60,6,4,1,1,0,0,MEDIUM
00:04.64,6,4,1,1,0,0,MEDIUM
00:04.67,6,4,1,1,0,0,MEDIUM
00:04.70,6,4,1,1,0,0,MEDIUM
00:04.74,6,4,1,1,0,0,MEDIUM
00:04.77,6,4,1,1,0,0,MEDIUM
00:04.80,6,4,1,1,0,0,MEDIUM
00:04.84,6,4,1,1,0,0,MEDIUM
00:04.87,6,4,1,1,0,0,MEDIUM
00:04.90,6,4,1,1,0,0,MEDIUM
00:04.94,6,4,1,1,0,0,MEDIUM
00:04.97,6,4,1,1,0,0,MEDIUM
00:05.00,6,4,1,1,0,0,MEDIUM
00:05.04,6,4,1,1,0,0,MEDIUM
00:05.07,6,4,1,1,0,0,MEDIUM
00:05.11,6,4,1,1,0,0,MEDIUM
00:05.14,6,4,1,1,0,0,MEDIUM
00:05.17,6,4,1,1,0,0,MEDIUM
00:05.21,6,4,1,1,0,0,MEDIUM
00:05.24,6,4,1,1,0,0,MEDIUM
00:05.27,6,4,1,1,0,0,MEDIUM
00:05.31,6,4,1,1,0,0,MEDIUM
00:05.34,6,4,1,1,0,0,MEDIUM
00:05.37,6,4,1,1,0,0,MEDIUM
00:05.41,6,4,1,1,0,0,MEDIUM
00:05.44,7,5,1,1,0,0,MEDIUM
00:05.47,7,5,1,1,0,0,MEDIUM
00:05.51,7,5,1,1,0,0,MEDIUM
00:05.54,7,5,1,1,0,0,MEDIUM
00:05.57,7,5,1,1,0,0,MEDIUM
00:05.61,7,5,1,1,0,0,MEDIUM
00:05.64,7,5,1,1,0,0,MEDIUM
00:05.67,7,5,1,1,0,0,MEDIUM
00:05.71,7,5,1,1,0,0,MEDIUM
00:05.74,7,5,1,1,0,0,MEDIUM
00:05.77,7,5,1,1,0,0,MEDIUM
00:05.81,7,5,1,1,0,0,MEDIUM
00:05.84,7,5,1,1,0,0,MEDIUM
00:05.87,7,5,1,1,0,0,MEDIUM
00:05.91,7,5,1,1,0,0,MEDIUM
00:05.94,7,5,1,1,0,0,MEDIUM
00:05.97,7,4,2,1,0,0,MEDIUM
00:06.01,5,3,1,1,0,0,LOW
00:06.04,5,3,1,1,0,0,LOW
00:06.07,5,3,1,1,0,0,LOW
00:06.11,5,3,1,1,0,0,LOW
00:06.14,5,3,1,1,0,0,LOW
00:06.17,5,3,1,1,0,0,LOW
00:06.21,5,3,1,1,0,0,LOW
00:06.24,5,3,1,1,0,0,LOW
00:06.27,5,3,1,1,0,0,LOW
00:06.31,3,2,0,1,0,0,LOW
00:06.34,5,3,1,1,0,0,LOW
00:06.37,4,2,1,1,0,0,LOW
00:06.41,3,2,0,1,0,0,LOW
00:06.44,3,2,0,1,0,0,LOW
00:06.47,3,2,0,1,0,0,LOW
00:06.51,2,1,0,1,0,0,LOW
00:06.54,2,1,0,1,0,0,LOW
00:06.57,2,1,0,1,0,0,LOW
00:06.61,3,2,0,1,0,0,LOW
00:06.64,3,2,0,1,0,0,LOW
00:06.67,4,2,1,1,0,0,LOW
00:06.71,4,2,1,1,0,0,LOW
00:06.74,4,2,1,1,0,0,LOW
00:06.77,4,2,1,1,0,0,LOW
00:06.81,4,2,1,1,0,0,LOW
00:06.84,4,2,1,1,0,0,LOW
00:06.87,4,2,1,1,0,0,LOW
00:06.91,4,2,1,1,0,0,LOW
00:06.94,4,2,1,1,0,0,LOW
00:06.97,4,2,1,1,0,0,LOW
00:07.01,4,2,1,1,0,0,LOW
00:07.04,4,2,1,1,0,0,LOW
00:07.07,4,2,1,1,0,0,LOW
00:07.11,4,2,1,1,0,0,LOW
00:07.14,5,3,1,1,0,0,LOW
00:07.17,5,3,1,1,0,0,LOW
00:07.21,5,3,1,1,0,0,LOW
00:07.24,5,3,1,1,0,0,LOW
00:07.27,5,3,1,1,0,0,LOW
00:07.31,5,3,1,1,0,0,LOW
